Date,Close,Open,High,Low,Volume,Change %
31-Dec-20,"1,103.87","1,098.25","1,105.33","1,096.27",527.82K,0.58%
30-Dec-20,"1,097.54","1,099.78","1,108.83","1,094.91",676.98K,-0.18%
29-Dec-20,"1,099.49","1,090.49","1,102.79","1,087.93",678.82K,0.75%
28-Dec-20,"1,091.33","1,094.37","1,096.11","1,083.90",723.88K,0.64%
25-Dec-20,"1,084.42","1,068.83","1,084.42","1,061.83",652.81K,1.58%
24-Dec-20,"1,067.52","1,083.83","1,084.76","1,046.89",757.32K,-1.05%
23-Dec-20,"1,078.90","1,087.89","1,094.09","1,077.92",813.17K,-0.42%
22-Dec-20,"1,083.45","1,081.85","1,084.23","1,077.06",756.11K,0.22%
21-Dec-20,"1,081.08","1,071.62","1,081.60","1,070.86",713.66K,1.28%
18-Dec-20,"1,067.46","1,055.75","1,068.56","1,055.75",623.64K,1.49%
17-Dec-20,"1,051.77","1,065.85","1,065.85","1,051.42",667.89K,-1.43%
16-Dec-20,"1,066.99","1,058.34","1,066.99","1,057.21",591.57K,1.11%
15-Dec-20,"1,055.27","1,062.02","1,067.45","1,052.01",675.18K,-0.83%
14-Dec-20,"1,064.09","1,048.97","1,064.09","1,048.97",583.59K,1.73%
11-Dec-20,"1,045.96","1,033.19","1,045.96","1,030.06",463.77K,1.46%
10-Dec-20,"1,030.91","1,041.65","1,044.10","1,030.91",626.45K,-0.79%
9-Dec-20,"1,039.13","1,029.26","1,039.55","1,029.26",586.05K,0.96%
8-Dec-20,"1,029.26","1,029.98","1,032.58","1,025.63",527.67K,-0.07%
7-Dec-20,"1,029.98","1,024.34","1,030.41","1,022.14",520.34K,0.83%
4-Dec-20,"1,021.49","1,019.80","1,025.17","1,018.67",553.59K,0.17%
3-Dec-20,"1,019.80","1,016.73","1,020.35","1,014.06",518.91K,0.54%
2-Dec-20,"1,014.32","1,008.77","1,015.86","1,007.91",684.53K,0.54%
1-Dec-20,"1,008.87",988.71,"1,008.87",988.71,583.31K,0.58%
30-Nov-20,"1,003.08","1,011.82","1,012.50","1,002.61",532.93K,-0.71%
27-Nov-20,"1,010.22","1,006.68","1,010.22","1,004.00",446.44K,0.42%
26-Nov-20,"1,005.97",999.24,"1,005.97",994.91,493.56K,0.60%
25-Nov-20,999.94,"1,000.39","1,002.31",996.8,475.74K,0.42%
24-Nov-20,995.76,996.55,997.99,984.92,550.07K,0.16%
23-Nov-20,994.19,991.87,995.9,985.38,489.69K,0.42%
20-Nov-20,990,984.71,990,980.72,501.05K,0.69%
19-Nov-20,983.26,975.32,983.26,974.33,500.12K,1.00%
18-Nov-20,973.53,969.48,974.3,966.32,478.68K,0.48%
17-Nov-20,968.9,955.52,968.9,953.22,400.96K,1.90%
16-Nov-20,950.79,970.11,972.98,950.5,518.93K,-1.60%
13-Nov-20,966.29,959.56,966.29,959.13,457.83K,0.73%
12-Nov-20,959.28,953.97,959.28,953.62,343.91K,0.74%
11-Nov-20,952.22,954.46,956.65,947.61,376.51K,0.03%
10-Nov-20,951.9,962.68,963.47,951.9,456.75K,-0.01%
9-Nov-20,951.99,942.15,951.99,942.15,393.20K,1.46%
6-Nov-20,938.29,939.73,941.2,934.63,268.23K,0.06%
